title,authors,year,date,venue,type,screen_decision,relevance_score,citations,screen_note,url,doi,abstract,source_index
Voyager: An Open-Ended Embodied Agent with Large Language Models,"Guanzhi Wang, Yuqi Xie, Yunfan Jiang, Ajay Mandlekar, Chaowei Xiao, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,2023-05-25,arXiv (Cornell University),preprint,Include,26,203,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2305.16291,https://doi.org/10.48550/arxiv.2305.16291,"We introduce Voyager, the first LLM-powered embodied lifelong learning agent in Minecraft that continuously explores the world, acquires diverse skills, and makes novel discoveries without human intervention. Voyager consists of three key components: 1) an automatic curriculum that maximizes exploration, 2) an ever-growing skill library of executable code for storing and retrieving complex behaviors, and 3) a new iterative prompting mechanism that incorporates environment feedback, execution errors, and self-verification for program improvement. Voyager interacts with GPT-4 via blackbox queries, which bypasses the need for model parameter fine-tuning. The skills developed by Voyager are temporally extended, interpretable, and compositional, which compounds the agent's abilities rapidly and alleviates catastrophic forgetting. Empirically, Voyager shows strong in-context lifelong learning capability and exhibits exceptional proficiency in playing Minecraft. It obtains 3.3x more unique items, travels 2.3x longer distances, and unlocks key tech tree milestones up to 15.3x faster than prior SOTA. Voyager is able to utilize the learned skill library in a new Minecraft world to solve novel tasks from scratch, while other techniques struggle to generalize. We open-source our full codebase and prompts at https://voyager.minedojo.org/.",OpenAlex
Continual Learning of Large Language Models: A Comprehensive Survey,"Haizhou Shi, Zihao Xu, Hengyi Wang, Weiyi Qin, Wenyuan Wang, Yibin Wang, Zifeng Wang, Sayna Ebrahimi",2025,2025-05-14,ACM Computing Surveys,article,Include,26,61,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1145/3735633,https://doi.org/10.1145/3735633,"The challenge of effectively and efficiently adapting statically pre-trained Large Language Models (LLMs) to ever-evolving data distributions remains predominant. When tailored for specific needs, pre-trained LLMs often suffer from significant performance degradation in previous knowledge domains—a phenomenon known as “catastrophic forgetting” . While extensively studied in the Continual Learning (CL) community, this problem presents new challenges in the context of LLMs. In this survey, we provide a comprehensive overview and detailed discussion of the current research progress on LLMs within the context of CL. Besides the introduction of the preliminary knowledge, this survey is structured into four main sections: we first describe an overview of continually learning LLMs, consisting of two directions of continuity: vertical continuity (or vertical continual learning) , i.e., continual adaptation from general to specific capabilities, and horizontal continuity (or horizontal continual learning) , i.e., continual adaptation across time and domains (Section 3 ). Following vertical continuity, we summarize three stages of learning LLMs in the context of modern CL: Continual Pre-Training (CPT), Domain-Adaptive Pre-training (DAP), and Continual Fine-Tuning (CFT) (Section 4 ). We then provide an overview of evaluation protocols for continual learning with LLMs, along with currently available data sources (Section 5 ). Finally, we discuss intriguing questions related to continual learning for LLMs (Section 6 ). This survey sheds light on the relatively understudied domain of continually pre-training, adapting, and fine-tuning large language models, suggesting the necessity for greater attention from the community. Key areas requiring immediate focus include the development of practical and accessible evaluation benchmarks, along with methodologies specifically designed to counter forgetting and enable knowledge transfer within the evolving landscape of LLM learning paradigms. The full list of articles examined in this survey is available at https://github.com/Wang-ML-Lab/llm-continual-learning-survey.",OpenAlex
GraphLoRA: Structure-Aware Contrastive Low-Rank Adaptation for Cross-Graph Transfer Learning,"Zhe-Rui Yang, Jindong Han, Chang‐Dong Wang, Hao Liu",2025,2025-04-04,,conference-paper,Include,26,11,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1145/3690624.3709186,https://doi.org/10.1145/3690624.3709186,"Graph Neural Networks (GNNs) have demonstrated remarkable proficiency in handling a range of graph analytical tasks across various domains, such as e-commerce and social networks. Despite their versatility, GNNs face significant challenges in transferability, limiting their utility in real-world applications. Existing research in GNN transfer learning overlooks discrepancies in distribution among various graph datasets, facing challenges when transferring across different distributions. How to effectively adopt a well-trained GNN to new graphs with varying feature and structural distributions remains an under-explored problem. Taking inspiration from the success of Low-Rank Adaptation (LoRA) in adapting large language models to various domains, we propose GraphLoRA, an effective and parameter-efficient method for transferring well-trained GNNs to diverse graph domains. Specifically, we first propose a Structure-aware Maximum Mean Discrepancy (SMMD) to align divergent node feature distributions across source and target graphs. Moreover, we introduce low-rank adaptation by injecting a small trainable GNN alongside the pre-trained one, effectively bridging structural distribution gaps while mitigating the catastrophic forgetting. Additionally, a structure-aware regularization objective is proposed to enhance the adaptability of the pre-trained GNN to target graph with scarce supervision labels. Extensive experiments on eight real-world datasets demonstrate the effectiveness of GraphLoRA against fourteen baselines by tuning only 20% of parameters, even across disparate graph domains. The code is available at https://github.com/AllminerLab/GraphLoRA.",OpenAlex
Parameterizing Context: Unleashing the Power of Parameter-Efficient Fine-Tuning and In-Context Tuning for Continual Table Semantic Parsing,"Yongrui Chen, Shenyu Zhang, Guilin Qi, Xinnan Guo",2023,2023-10-07,arXiv (Cornell University),preprint,Exclude after abstract,26,9,Related continual-learning terminology but limited direct relevance to decoder-only LLM fine-tuning.,https://doi.org/10.48550/arxiv.2310.04801,https://doi.org/10.48550/arxiv.2310.04801,"Continual table semantic parsing aims to train a parser on a sequence of tasks, where each task requires the parser to translate natural language into SQL based on task-specific tables but only offers limited training examples. Conventional methods tend to suffer from overfitting with limited supervision, as well as catastrophic forgetting due to parameter updates. Despite recent advancements that partially alleviate these issues through semi-supervised data augmentation and retention of a few past examples, the performance is still limited by the volume of unsupervised data and stored examples. To overcome these challenges, this paper introduces a novel method integrating \textit{parameter-efficient fine-tuning} (PEFT) and \textit{in-context tuning} (ICT) for training a continual table semantic parser. Initially, we present a task-adaptive PEFT framework capable of fully circumventing catastrophic forgetting, which is achieved by freezing the pre-trained model backbone and fine-tuning small-scale prompts. Building on this, we propose a teacher-student framework-based solution. The teacher addresses the few-shot problem using ICT, which procures contextual information by demonstrating a few training examples. In turn, the student leverages the proposed PEFT framework to learn from the teacher's output distribution, and subsequently compresses and saves the contextual information to the prompts, eliminating the need to store any training examples. Experimental evaluations on two benchmarks affirm the superiority of our method over prevalent few-shot and continual learning baselines across various metrics.",OpenAlex
LoRA Subtraction for Drift-Resistant Space in Exemplar-Free Continual Learning,"Xuan Liu, Xiaobin Chang",2025,2025-06-10,,conference-paper,Include,26,8,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1109/cvpr52734.2025.01426,https://doi.org/10.1109/cvpr52734.2025.01426,"In continual learning (CL), catastrophic forgetting often arises due to feature drift. This challenge is particularly prominent in the exemplar-free continual learning (EFCL) setting, where samples from previous tasks cannot be retained, making it difficult to preserve prior knowledge. To address this issue, some EFCL methods aim to identify feature spaces that minimize the impact on previous tasks while accommodating new ones. However, they rely on static features or outdated statistics stored from old tasks, which prevents them from capturing the dynamic evolution of the feature space in CL, leading to performance degradation over time. In this paper, we introduce the Drift-Resistant Space (DRS), which effectively handles feature drifts without requiring explicit feature modeling or the storage of previous tasks. A novel parameter-efficient fine-tuning approach called Low-Rank Adaptation Subtraction (LoRA ) is proposed to develop the DRS. This method subtracts the LoRA weights of old tasks from the initial pre-trained weight before processing new task data to establish the DRS for model training. Therefore, LoRA–enhances stability, improves efficiency, and simplifies implementation. Furthermore, stabilizing feature drifts allows for better plasticity by learning with a triplet loss. Our method consistently achieves state-of-the-art results, especially for long task sequences, across multiple datasets.1",OpenAlex
DC-LoRA: Domain correlation low-rank adaptation for domain incremental learning,"Lin Li, Shiye Wang, Changsheng Li, Ye Yuan, Guoren Wang",2025,2025-03-18,High-Confidence Computing,article,Include,26,5,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1016/j.hcc.2024.100270,https://doi.org/10.1016/j.hcc.2024.100270,"Continual learning, characterized by the sequential acquisition of multiple tasks, has emerged as a prominent challenge in deep learning. During the process of continual learning, deep neural networks experience a phenomenon known as catastrophic forgetting, wherein networks lose the acquired knowledge related to previous tasks when training on new tasks. Recently, parameter-efficient fine-tuning (PEFT) methods have gained prominence in tackling the challenge of catastrophic forgetting. However, within the realm of domain incremental learning, a type characteristic of continual learning, there exists an additional overlooked inductive bias, which warrants attention beyond existing approaches. In this paper, we propose a novel PEFT method called Domain Correlation Low-Rank Adaptation for domain incremental learning. Our approach put forward a domain correlated loss, which encourages the weights of the LoRA module for adjacent tasks to become more similar, thereby leveraging the correlation between different task domains. Furthermore, we consolidate the classifiers of different task domains to improve prediction performance by capitalizing on the knowledge acquired from diverse tasks. To validate the effectiveness of our method, we conduct comparative experiments and ablation studies on publicly available domain incremental learning benchmark dataset. The experimental results demonstrate that our method outperforms state-of-the-art approaches.",OpenAlex
ApiQ: Finetuning of 2-Bit Quantized Large Language Model,"Baohao Liao, Christian Herold, Shahram Khadivi, Christof Monz",2024,2024-01-01,,conference-paper,Include,26,5,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2024.emnlp-main.1168,https://doi.org/10.18653/v1/2024.emnlp-main.1168,"Memory-efficient finetuning of large language models (LLMs) has recently attracted huge attention with the increasing size of LLMs, primarily due to the constraints posed by GPU memory limitations and the effectiveness of these methods compared to full finetuning.Despite the advancements, current strategies for memory-efficient finetuning, such as QLoRA, exhibit inconsistent performance across diverse bit-width quantizations and multifaceted tasks.This inconsistency largely stems from the detrimental impact of the quantization process on preserved knowledge, leading to catastrophic forgetting and undermining the utilization of pretrained models for finetuning purposes.In this work, we introduce a novel quantization framework named ApiQ, designed to restore the lost information from quantization by concurrently initializing the LoRA components and quantizing the weights of LLMs.This approach ensures the maintenance of the original LLM's activation precision while mitigating the error propagation from shallower into deeper layers.Through comprehensive evaluations conducted on a spectrum of language tasks with various LLMs, ApiQ demonstrably minimizes activation error during quantization.Consequently, it consistently achieves superior finetuning results across various bit-widths.Notably, one can even finetune a 2-bit Llama-2-70b with ApiQ on a single NVIDIA A100-80GB GPU without any memory-saving techniques, and achieve promising results.",OpenAlex
Empowering Large Language Model for Continual Video Question Answering with Collaborative Prompting,"Chen Cai, Zheng Wang, Jianjun Gao, Wenyang Liu, Ye Lu, Runzhong Zhang, Kim–Hui Yap",2024,2024-01-01,,conference-paper,Include,26,4,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2024.emnlp-main.227,https://doi.org/10.18653/v1/2024.emnlp-main.227,"In recent years, the rapid increase in online video content has underscored the limitations of static Video Question Answering (VideoQA) models trained on fixed datasets, as they struggle to adapt to new questions or tasks posed by newly available content.In this paper, we explore the novel challenge of VideoQA within a continual learning framework, and empirically identify a critical issue: fine-tuning a large language model (LLM) for a sequence of tasks often results in catastrophic forgetting.To address this, we propose Collaborative Prompting (ColPro), which integrates specific question constraint prompting, knowledge acquisition prompting, and visual temporal awareness prompting.These prompts aim to capture textual question context, visual content, and video temporal dynamics in VideoQA, a perspective underexplored in prior research.Experimental results on the NExT-QA and DramaQA datasets show that ColPro achieves superior performance compared to existing approaches, achieving 55.14% accuracy on NExT-QA and 71.24% accuracy on DramaQA, highlighting its practical relevance and effectiveness.",OpenAlex
Rationale-Enhanced Language Models are Better Continual Relation Learners,"Weimin Xiong, Yifan Song, Peiyi Wang, Sujian Li",2023,2023-01-01,,conference-paper,Include,26,4,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2023.emnlp-main.958,https://doi.org/10.18653/v1/2023.emnlp-main.958,"Continual relation extraction (CRE) aims to solve the problem of catastrophic forgetting when learning a sequence of newly emerging relations. Recent CRE studies have found that catastrophic forgetting arises from the model's lack of robustness against future analogous relations. To address the issue, we introduce rationale, i.e., the explanations of relation classification results generated by large language models (LLM), into CRE task. Specifically, we design the multi-task rationale tuning strategy to help the model learn current relations robustly. We also conduct contrastive rationale replay to further distinguish analogous relations. Experimental results on two standard benchmarks demonstrate that our method outperforms the state-of-the-art CRE models. Our code is available at https://github.com/WeiminXiong/ RationaleCL",OpenAlex
Mitigating Catastrophic Forgetting in Large Language Models with Self-Synthesized Rehearsal,"Jianheng Huang, Leyang Cui, Ante Wang, Chengyi Yang, Xinting Liao, Linfeng Song, Junfeng Yao, Jinsong Su",2024,2024-03-02,arXiv (Cornell University),preprint,Include,26,3,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2403.01244,https://doi.org/10.48550/arxiv.2403.01244,"Large language models (LLMs) suffer from catastrophic forgetting during continual learning. Conventional rehearsal-based methods rely on previous training data to retain the model's ability, which may not be feasible in real-world applications. When conducting continual learning based on a publicly-released LLM checkpoint, the availability of the original training data may be non-existent. To address this challenge, we propose a framework called Self-Synthesized Rehearsal (SSR) that uses the LLM to generate synthetic instances for rehearsal. Concretely, we first employ the base LLM for in-context learning to generate synthetic instances. Subsequently, we utilize the latest LLM to refine the instance outputs based on the synthetic inputs, preserving its acquired ability. Finally, we select diverse high-quality synthetic instances for rehearsal in future stages. Experimental results demonstrate that SSR achieves superior or comparable performance compared to conventional rehearsal-based approaches while being more data-efficient. Besides, SSR effectively preserves the generalization capabilities of LLMs in general domains.",OpenAlex
Breaking Language Barriers: Cross-Lingual Continual Pre-Training at Scale,"Wenzhen Zheng, Wenbo Pan, Xu Xu, Libo Qin, Yue Li, Ming Zhou",2024,2024-01-01,,conference-paper,Include,26,3,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2024.emnlp-main.441,https://doi.org/10.18653/v1/2024.emnlp-main.441,"In recent years, Large Language Models (LLMs) have made significant strides towards Artificial General Intelligence.However, training these models from scratch requires substantial computational resources and vast amounts of text data.In this paper, we explore an alternative approach to constructing an LLM for a new language by continually pre-training (CPT) from existing pre-trained LLMs, instead of using randomly initialized parameters.Based on parallel experiments on 40 model sizes ranging from 40M to 5B parameters, we find that 1) CPT converges faster and saves significant resources in a scalable manner; 2) CPT adheres to an extended scaling law derived from Hoffmann et al. ( 2022) with a joint data-parameter scaling term; 3) The compute-optimal data-parameter allocation for CPT markedly differs based on our estimated scaling factors; 4) The effectiveness of transfer at scale is influenced by training duration and linguistic properties, while robust to data replaying, a method that effectively mitigates catastrophic forgetting in CPT.We hope our findings provide deeper insights into the transferability of LLMs at scale for the research community.",OpenAlex
Beyond Anti-Forgetting: Multimodal Continual Instruction Tuning with Positive Forward Transfer,"Junhao Zheng, Qianli Ma, Zhen Liu, Binquan Wu, Huawen Feng",2024,2024-01-17,arXiv (Cornell University),preprint,Include,26,2,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2401.09181,https://doi.org/10.48550/arxiv.2401.09181,"Multimodal Continual Instruction Tuning (MCIT) enables Multimodal Large Language Models (MLLMs) to meet continuously emerging requirements without expensive retraining. MCIT faces two major obstacles: catastrophic forgetting (where old knowledge is forgotten) and negative forward transfer (where the performance of future tasks is degraded). Although existing methods have greatly alleviated catastrophic forgetting, they still suffer from negative forward transfer. We discover a large discrepancy in different input embeddings by performing singular value decomposition (SVD) on input embeddings. This discrepancy results in the model learning irrelevant information for old and pre-trained tasks, leading to catastrophic forgetting and negative forward transfer. To address these issues, we propose Prompt Tuning with Positive Forward Transfer (Fwd-Prompt), a prompt-based method that projects the prompt gradient to the residual space to minimize interference between tasks and to the pre-trained subspace for reusing pre-trained knowledge. Our experiments demonstrate that Fwd-Prompt achieves state-of-the-art performance while updating fewer parameters and requiring no old samples. Our research illuminates the potential of continuously adapting MLLMs to new tasks under the instruction tuning paradigm and encourages future studies to explore MCIT.",OpenAlex
Towards Lifelong Learning of Large Language Models: A Survey,"Junhao Zheng, Shengjie Qiu, Chengming Shi, Qianli Ma",2024,2024-06-10,arXiv (Cornell University),preprint,Include,26,1,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2406.06391,https://doi.org/10.48550/arxiv.2406.06391,"As the applications of large language models (LLMs) expand across diverse fields, the ability of these models to adapt to ongoing changes in data, tasks, and user preferences becomes crucial. Traditional training methods, relying on static datasets, are increasingly inadequate for coping with the dynamic nature of real-world information. Lifelong learning, also known as continual or incremental learning, addresses this challenge by enabling LLMs to learn continuously and adaptively over their operational lifetime, integrating new knowledge while retaining previously learned information and preventing catastrophic forgetting. This survey delves into the sophisticated landscape of lifelong learning, categorizing strategies into two primary groups: Internal Knowledge and External Knowledge. Internal Knowledge includes continual pretraining and continual finetuning, each enhancing the adaptability of LLMs in various scenarios. External Knowledge encompasses retrieval-based and tool-based lifelong learning, leveraging external data sources and computational tools to extend the model's capabilities without modifying core parameters. The key contributions of our survey are: (1) Introducing a novel taxonomy categorizing the extensive literature of lifelong learning into 12 scenarios; (2) Identifying common techniques across all lifelong learning scenarios and classifying existing literature into various technique groups within each scenario; (3) Highlighting emerging techniques such as model expansion and data selection, which were less explored in the pre-LLM era. Through a detailed examination of these groups and their respective categories, this survey aims to enhance the adaptability, reliability, and overall performance of LLMs in real-world applications.",OpenAlex
HFT: Half Fine-Tuning for Large Language Models,"Tingfeng Hui, Zhenyu Zhang, Shuohuan Wang, Weiran Xu, Yu Sun, Hua Wu",2024,2024-04-29,arXiv (Cornell University),preprint,Include,26,1,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2404.18466,https://doi.org/10.48550/arxiv.2404.18466,"Large language models (LLMs) with one or more fine-tuning phases have become a necessary step to unlock various capabilities, enabling LLMs to follow natural language instructions or align with human preferences. However, it carries the risk of catastrophic forgetting during sequential training, the parametric knowledge or the ability learned in previous stages may be overwhelmed by incoming training data. In this paper, we find that by regularly resetting partial parameters, LLMs can restore some of the original knowledge. Inspired by this, we introduce Half Fine-Tuning (HFT) for LLMs, as a substitute for full fine-tuning (FFT), to mitigate the forgetting issues, where half of the parameters are selected to learn new tasks while the other half are frozen to remain previous knowledge. We provide a feasibility analysis from the perspective of optimization and interpret the parameter selection operation as a regularization term. Without changing the model architecture, HFT could be seamlessly integrated into existing fine-tuning frameworks. Extensive experiments and analysis on supervised fine-tuning, direct preference optimization, and continual learning consistently demonstrate the effectiveness, robustness, and efficiency of HFT. Compared with FFT, HFT not only significantly alleviates the forgetting problem, but also achieves the best performance in a series of downstream benchmarks, with an approximately 30% reduction in training time.",OpenAlex
Can LLMs Learn New Concepts Incrementally without Forgetting?,"Junhao Zheng, Shengjie Qiu, Qianli Ma",2024,2024-02-13,arXiv (Cornell University),preprint,Include,26,1,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2402.08526,https://doi.org/10.48550/arxiv.2402.08526,"Large Language Models (LLMs) have achieved remarkable success across various tasks, yet their ability to learn incrementally without forgetting remains underexplored. Incremental learning (IL) is crucial as it enables models to acquire new knowledge while retaining previously learned information, akin to human learning. Existing benchmarks for IL are insufficient due to data leakage issues and the overqualification of LLMs. To address these challenges, we introduce Concept-1K, a novel dataset comprising 1,023 recently emerged concepts across diverse domains. The concepts in Concept-1K are discrete, interpretable units of knowledge that allow for fine-grained analysis of learning and forgetting processes. Using Concept-1K as a testbed, we aim to answer the question: ``Can LLMs learn new concepts incrementally without forgetting like humans?'' Our investigation reveals that LLMs still suffer from catastrophic forgetting and that LoRA, despite fine-tuning fewer parameters, may lead to more forgetting on training data. Additionally, we explore the roles of in-context learning, model scale, buffer size, and pretraining in IL performance. These findings highlight the strengths and limitations of LLMs in IL scenarios and provide a robust benchmark for future research.",OpenAlex
Catastrophic Forgetting is Low-Rank: A Function-Space Theory for Continual Adaptation,"Ido Nitzan HIdekel, Dan Raviv",2026,2026-06-16,arXiv (Cornell University),preprint,Exclude after abstract,26,0,Related continual-learning terminology but limited direct relevance to decoder-only LLM fine-tuning.,https://arxiv.org/abs/2606.18024,,"Catastrophic forgetting in continual adaptation is usually studied through parameter drift, replay, or distillation, but these views do not identify which output-space directions are vulnerable. We give a function-space account in the NTK regime: new-task training induces old-task prediction drift through the cross-task kernel, yielding a closed-form predictor for the forgetting vector before any new-task gradient step. In frozen-backbone linear-head PEFT-CL, where the model is linear in the trainable parameters, the predictor is exact up to numerical precision; for nonlinear adapters/full fine-tuning, it is a local NTK approximation. The same expression reveals that forgetting concentrates in a small number of old-task NTK eigenmodes and under frozen linear heads gives a Kronecker scaling rule for the vulnerable rank. These results clarify the relation to prior NTK-overlap theory, explain why parameter-space regularizers can miss output-space interference, and motivate a targeted spectral regularizer.",OpenAlex
LoRA Eliminates Catastrophic Forgetting: Comprehensive Empirical Study with 234 Experiments Validating Frozen-Weight Continual Learning Architecture,"Pandey, Ashish",2025,2025-11-13,Zenodo (CERN European Organization for Nuclear Research),preprint,Include,26,0,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.5281/zenodo.17603772,https://doi.org/10.5281/zenodo.17603772,"Catastrophic forgetting prevents continual learning in neural networks. We discover that Low-Rank Adaptation (LoRA), a parameter-efficient fine-tuning method, reduces catastrophic forgetting by 95.5% (from 20.8% to 0.9%, p=0.0028). Through 234 systematic experiments across 8 random seeds on BERT-base, we validate LoRA ranks (4, 8, 16, 32), quantization levels (4-bit, 8-bit), and module selections. Combined with 4-bit quantization, our best configuration achieves 72.2% accuracy, 0.46GB memory (83% reduction), and 1.4% forgetting (93.1% reduction). Freezing ablation studies validate the frozen-backbone mechanism. Code and data available on GitHub.",OpenAlex
Compositional Chain-of-Thought Prompting for Large Multimodal Models,"Chancharik Mitra, Brandon Huang, Trevor Darrell, Roei Herzig",2024,2024-06-16,,conference-paper,Include,25,80,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1109/cvpr52733.2024.01367,https://doi.org/10.1109/cvpr52733.2024.01367,"The combination of strong visual backbones and Large Language Model (LLM) reasoning has led to Large Multimodal Models (LMMs) becoming the current standard for a wide range of vision and language (VL) tasks. However, recent research has shown that even the most advanced LMMs still struggle to capture aspects of compositional visual reasoning, such as attributes and relationships between objects. One solution is to utilize scene graphs (SGs)-a formalization of objects and their relations and attributes that has been extensively used as a bridge between the visual and textual domains. Yet, scene graph data requires scene graph annotations, which are expensive to collect and thus not easily scalable. Moreover, finetuning an LMM based on SG data can lead to catastrophic forgetting of the pretraining objective. To overcome this, inspired by chain-of-thought methods, we propose Compositional Chain-of-Thought (CCoT), a novel zero-shot Chain-of-Thought prompting method that utilizes SG representations in order to extract compositional knowledge from an LMM. Specifically, we first generate an SG using the LMM, and then use that SG in the prompt to produce a response. Through extensive experiments, we find that the proposed CCoT approach not only improves LMM performance on several vision and language (VL) compositional benchmarks but also improves the performance of several popular LMMs on general multimodal benchmarks, without the need for fine-tuning or annotated ground-truth SGs. Code: https://github.com/chancharikmitra/CCoT.",OpenAlex
Recent Advances of Foundation Language Models-based Continual Learning: A Survey,"Yutao Yang, Jie Zhou, Xuanwen Ding, Tianyu Huai, Shunyu Liu, Qin Chen, Yuan Xie, Liang He",2024,2024-12-09,ACM Computing Surveys,article,Include,25,44,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1145/3705725,https://doi.org/10.1145/3705725,"Recently, foundation language models (LMs) have marked significant achievements in the domains of natural language processing and computer vision. Unlike traditional neural network models, foundation LMs obtain a great ability for transfer learning by acquiring rich common sense knowledge through pre-training on extensive unsupervised datasets with a vast number of parameters. Despite these capabilities, LMs still struggle with catastrophic forgetting, hindering their ability to learn continuously like humans. To address this, continual learning (CL) methodologies have been introduced, allowing LMs to adapt to new tasks while retaining learned knowledge. However, a systematic taxonomy of existing approaches and a comparison of their performance are still lacking. In this article, we delve into a comprehensive review, summarization, and classification of the existing literature on CL-based approaches applied to foundation language models, such as pre-trained language models, large language models, and vision-language models. We divide these studies into offline and online CL, which consist of traditional methods, parameter-efficient-based methods, instruction tuning-based methods and continual pre-training methods. Additionally, we outline the typical datasets and metrics employed in CL research and provide a detailed analysis of the challenges and future work for LMs-based continual learning.",OpenAlex
Parameter-Efficient Fine-Tuning Enhances Adaptation of Single Cell Large Language Model for Cell Type Identification,"Fei He, Ruixin Fei, Mingyue Gao, Li Su, Xinyu Zhang, Dong Xu",2024,2024-01-30,bioRxiv (Cold Spring Harbor Laboratory),preprint,Include,25,9,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1101/2024.01.27.577455,https://doi.org/10.1101/2024.01.27.577455,"Single-cell sequencing transformed biology and medicine, providing an unprecedented high-resolution view at the cellular level. However, the vast variability inherent in single-cell sequencing data impedes its utility for in-depth downstream analysis. Inspired by the foundation models in natural language processing, recent advancements have led to the development of single-cell Large Language Models (scLLMs). These models are designed to discern universal patterns across diverse single-cell datasets, thereby enhancing the signal-to-noise ratio. Despite their potential, multiple studies indicate existing scLLMs do not perform well in zero-short settings, highlighting a pressing need for more effective adaptation techniques. This research proposes several adaptation techniques for scLLMs by preserving the original model parameters while selectively updating newly introduced tensors. This approach aims to overcome the limitations associated with traditional fine-tuning practices, such as catastrophic forgetting and computational inefficiencies. We introduce two Parameter-Efficient Fine-Tuning (PEFT) strategies specifically tailored to refine scLLMs for cell type identification. Our investigations utilizing scGPT demonstrate that PEFT can enhance performance, with the added benefit of up to a 90% reduction in parameter training compared to conventional fine-tuning methodologies. This work paves the way for a new direction in leveraging single-cell models with greater efficiency and efficacy in single-cell biology.",OpenAlex
Parameter Efficient Fine-tuning of Self-supervised ViTs without Catastrophic Forgetting,"Reza Akbarian Bafghi, Nidhin Harilal, Claire Monteleoni, Maziar Raissi",2024,2024-06-17,,conference-paper,Include,25,7,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.1109/cvprw63382.2024.00371,https://doi.org/10.1109/cvprw63382.2024.00371,"Artificial neural networks often suffer from catastrophic forgetting, where learning new concepts leads to a complete loss of previously acquired knowledge. We observe that this issue is particularly magnified in vision transformers (ViTs), where post-pre-training and fine-tuning on new tasks can significantly degrade the model’s original general abilities. For instance, a DINO ViT-Base/16 pre-trained on ImageNet-1k loses over 70% accuracy on ImageNet-1k after just 10 iterations of fine-tuning on CIFAR-100. Overcoming this stability-plasticity dilemma is crucial for enabling ViTs to continuously learn and adapt to new domains while preserving their initial knowledge. In this work, we study two new parameter-efficient fine-tuning strategies: (1) Block Expansion, and (2) Low-rank adaptation (LoRA). Our experiments reveal that using either Block Expansion or LoRA on self-supervised pre-trained ViTs surpass fully fine-tuned ViTs in new domains while offering significantly greater parameter efficiency. Notably, we find that Block Expansion experiences only a minimal performance drop in the pre-training domain, thereby effectively mitigating catastrophic forgetting in pre-trained ViTs1.",OpenAlex
